latitude,longitude,altitude,bearing
13.07937,80.25461,11.0,171.47735947234275
13.079,80.25468,12.0,169.55859542757332
13.07888,80.2547,12.0,170.77886445073136
13.07884,80.25441,12.0,261.94028873820605
13.07882,80.25428,12.0,261.0246756817362
13.07875,80.25334,14.0,265.6282769864415
13.07874,80.2531,14.0,267.5506198568776
13.07877,80.25277,14.0,275.33201134759196
13.07878,80.25257,14.0,272.9385245486389
13.07878,80.25243,14.0,270.0000158407867
13.07878,80.2524,14.0,270.0000033955997
13.07878,80.25233,14.0,270.0000079203934
13.07877,80.25212,14.0,267.20122246830465
13.07877,80.25206,11.0,270.0000067896401
13.07877,80.25192,11.0,270.0000158407861
13.07877,80.2517,11.0,270.00002489213455
13.07877,80.25143,11.0,270.0000305493097
13.07877,80.25107,11.0,270.00004073238404
13.07876,80.25059,11.0,268.7747907443382
13.07875,80.25035,11.0,267.5506197578136
13.07874,80.25018,11.0,266.5441214290668
13.07874,80.25008,11.0,270.0000113149222
13.07872,80.24998,10.0,258.3969527574794
13.0787,80.24989,10.0,257.14849433847166
13.07852,80.24913,10.0,256.3338623331932
13.07843,80.24852,10.0,261.38695227131814
13.07836,80.24813,10.0,259.55944986434395
13.07817,80.24719,11.0,258.2770315921307
13.07814,80.24703,11.0,259.1042627109875
13.07802,80.24639,11.0,259.1043202509368
13.07798,80.24619,11.0,258.39699748202287
13.07794,80.24545,12.0,266.8238049719024
13.07791,80.24516,12.0,263.93778253851127
13.07788,80.24481,12.0,264.97115793700107
13.07787,80.24477,12.0,255.60535622297
13.07783,80.24441,12.0,263.492457683835
13.07781,80.24416,12.0,265.3048548311222
13.07775,80.24369,12.0,262.53349587681356
13.07757,80.24229,12.0,262.4808802892974
13.07755,80.24217,12.0,260.29048412507
13.07749,80.24184,12.0,259.4269260717249
13.07738,80.2413,15.0,258.18817548881026
13.07734,80.24116,15.0,253.6524714713779
13.07733,80.24109,15.0,261.6564505679103
13.07722,80.24072,15.0,253.02718439942706
13.07718,80.24062,15.0,247.67451858343298
13.07713,80.24041,15.0,256.2643020513167
13.07712,80.24033,15.0,262.6873228683374
13.0769,80.23942,14.0,256.0612514467169
13.07684,80.23919,14.0,255.0072158877525
13.07676,80.23886,14.0,256.02430137936346
13.07659,80.23807,14.0,257.54247279605994
13.07658,80.23803,14.0,255.60542837965457
13.07657,80.23798,14.0,258.3970457232974
13.07649,80.23762,14.0,257.14863469759416
13.07645,80.23738,16.0,260.29053978852244
13.07634,80.23677,16.0,259.5117385558469
13.07614,80.23578,16.0,258.28319077295765
13.07574,80.23392,14.0,257.55026357927784
13.07559,80.23328,15.0,256.4711020857969
13.0755,80.23295,15.0,254.35850324079482
